,Year,Site country,Location,Latitude,Longitude,Soil information recorded in the paper,pH (surface layer),Crop,Sowing year,Harvest year,Yield of CT,Yield of NT,Sowing month,Harvesting month,P,E,PB,Tave,Tmax,Tmin,ST
10,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,wheat.winter,2010,2010,1370.0,1350.0,11,5,465.0,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
11,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,wheat.winter,2011,2011,890.0,930.0,11,5,283.3,716.554,-433.254,20.71429,25.72281,8.06241,Clay loam
12,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,wheat.winter,2011,2011,910.0,960.0,11,5,283.3,716.554,-433.254,20.71429,25.72281,8.06241,Clay loam
13,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,wheat.winter,2011,2011,1100.0,1200.0,11,5,283.3,716.554,-433.254,20.71429,25.72281,8.06241,Clay loam
14,2019,China,"Ningxiang, hunan",28.6,112.6,clay loam,5.6,rice,2017,2017,7225.0,6749.0,3,6,963.1,285.776,677.324,18.55,26.04461,7.75104,Clay loam
15,1996,USA,"North Dakota, Carrington (NDSU Research Extension Center)",47.46,-99.12,available, ,soybean,1991,1991,2380.0,2620.0,5,10,347.1,476.438,-129.338,15.2,29.3754,-2.51616,Loam
16,1996,USA,"North Dakota, Carrington (NDSU Research Extension Center)",47.46,-99.12,available, ,soybean,1991,1991,2760.0,2570.0,5,10,347.1,476.438,-129.338,15.2,29.3754,-2.51616,Loam
17,1996,USA,"North Dakota, Carrington (NDSU Research Extension Center)",47.46,-99.12,available, ,soybean,1991,1991,2760.0,2520.0,5,10,347.1,476.438,-129.338,15.2,29.3754,-2.51616,Loam
18,2018,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2008,2009,8189.0,7492.0,6,9,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
19,2018,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2009,2010,8488.0,7771.0,6,9,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
20,2018,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2010,2011,8508.0,7910.0,6,9,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
21,2018,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2008,2009,9066.0,8388.0,6,9,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
22,2018,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2009,2010,9245.0,8488.0,6,9,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
23,2018,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2010,2011,9086.0,9404.0,6,9,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
24,2018,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2008,2009,8388.0,7014.0,6,9,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
25,2018,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2009,2010,8588.0,7233.0,6,9,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
26,2018,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2010,2011,8747.0,7631.0,6,9,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
27,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2009,2010,4300.0,4700.0,11,7,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
28,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2009,2010,4000.0,5900.0,11,7,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
29,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2009,2010,3700.0,5300.0,11,7,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
30,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2009,2010,3700.0,5100.0,11,7,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
31,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2010,2011,5100.0,5200.0,11,7,557.0,684.918,-127.918,20.72222,26.24189,4.88006,Loam
32,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2010,2011,5300.0,4800.0,11,7,557.0,684.918,-127.918,20.72222,26.24189,4.88006,Loam
33,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2010,2011,5200.0,5500.0,11,7,557.0,684.918,-127.918,20.72222,26.24189,4.88006,Loam
34,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2010,2011,4600.0,5800.0,11,7,557.0,684.918,-127.918,20.72222,26.24189,4.88006,Loam
35,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2011,2012,6300.0,6500.0,11,7,467.2,702.472,-235.272,20.75556,28.2099,2.61107,Loam
36,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2011,2012,6300.0,6900.0,11,7,467.2,702.472,-235.272,20.75556,28.2099,2.61107,Loam
37,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2011,2012,6700.0,6700.0,11,7,467.2,702.472,-235.272,20.75556,28.2099,2.61107,Loam
38,2019,Italy,Policoro,40.16,16.65,loam,7.72,wheat.winter,2011,2012,6400.0,6300.0,11,7,467.2,702.472,-235.272,20.75556,28.2099,2.61107,Loam
39,2009,Canada,"Quebec, Ste. Anne de Bellevue",45.42,-73.93,clay loam, ,maize,2002,2002,5470.0,5340.0,5,10,555.9,493.022,62.878,15.7,26.54872,0.79462,Loam
40,2009,Canada,"Quebec, Ste. Anne de Bellevue",45.42,-73.93,clay loam, ,maize,2002,2002,2110.0,1950.0,5,10,555.9,493.022,62.878,15.7,26.54872,0.79462,Loam
41,2009,Canada,"Quebec, Ste. Anne de Bellevue",45.42,-73.93,clay loam, ,maize,2003,2003,6740.0,7910.0,5,10,642.0,484.948,157.052,16.16667,26.13306,2.31443,Loam
42,2009,Canada,"Quebec, Ste. Anne de Bellevue",45.42,-73.93,clay loam, ,maize,2003,2003,3390.0,2840.0,5,10,642.0,484.948,157.052,16.16667,26.13306,2.31443,Loam
43,2009,Canada,"Quebec, Ste. Anne de Bellevue",45.42,-73.93,clay loam, ,soybean,2002,2002,2420.0,2220.0,6,10,427.2,411.484,15.716,16.62,26.54872,0.79462,Loam
44,2009,Canada,"Quebec, Ste. Anne de Bellevue",45.42,-73.93,clay loam, ,soybean,2003,2003,3300.0,3150.0,6,10,510.0,399.759,110.241,16.88,26.13306,2.31443,Loam
45,2005,USA,"Colorado, Akron",40.15,-103.15,silt loam, ,wheat.winter,1993,1993,2234.0,3350.0,9,7,367.3,634.618,-267.318,9.95455,31.06044,-8.83371,Loam
46,2005,USA,"Colorado, Akron",40.15,-103.15,silt loam, ,wheat.winter,1994,1994,1461.0,1676.0,9,7,568.4,621.364,-52.964,10.16364,30.24864,-7.21116,Loam
47,2005,USA,"Colorado, Akron",40.15,-103.15,silt loam, ,wheat.winter,1995,1995,1983.0,2394.0,9,7,486.6,647.94,-161.339,10.22727,29.22616,-11.65825,Loam
48,2005,USA,"Colorado, Akron",40.15,-103.15,silt loam, ,wheat.winter,1996,1996,1608.0,3090.0,9,7,456.0,638.728,-182.728,9.88182,31.15953,-9.91188,Loam
49,2005,USA,"Colorado, Akron",40.15,-103.15,silt loam, ,wheat.winter,1997,1997,1874.0,3013.0,9,7,419.7,646.077,-226.377,10.3,29.86537,-7.93096,Loam
50,2005,USA,"Colorado, Akron",40.15,-103.15,silt loam, ,wheat.winter,1998,1998,1412.0,1740.0,9,7,509.3,653.766,-144.466,11.20909,31.38359,-10.10253,Loam
51,2005,USA,"Colorado, Akron",40.15,-103.15,silt loam, ,wheat.winter,1999,1999,2062.0,2734.0,9,7,333.6,659.437,-325.837,11.96364,32.59679,-7.97563,Loam
52,2005,USA,"Colorado, Akron",40.15,-103.15,silt loam, ,wheat.winter,2000,2000,1294.0,1887.0,9,7,483.4,645.468,-162.068,10.1,32.95001,-10.75148,Loam
53,2005,USA,"Colorado, Akron",40.15,-103.15,silt loam, ,wheat.winter,2001,2001,3058.0,3435.0,9,7,265.3,637.921,-372.621,11.03636,33.58311,-9.86405,Loam
54,2005,USA,"Colorado, Akron",40.15,-103.15,silt loam, ,wheat.winter,2002,2002,1452.0,1841.0,9,7,446.2,644.107,-197.907,10.72727,34.55946,-9.66341,Loam
55,2000,USA,"Iowa, Nashua",42.94,-92.57,"Kenyon (fine-loamy, mixed, mesic Typic Hapludoll)", ,soybean,1996,1996,3571.0,3529.0,5,10,532.6,463.279,69.321,17.43333,27.33077,3.66085,Loam
56,2000,USA,"Iowa, Nashua",42.94,-92.57,"Kenyon (fine-loamy, mixed, mesic Typic Hapludoll)", ,soybean,1996,1996,3688.0,3529.0,5,10,532.6,463.279,69.321,17.43333,27.33077,3.66085,Loam
57,2000,USA,"Iowa, Nashua",42.94,-92.57,"Kenyon (fine-loamy, mixed, mesic Typic Hapludoll)", ,soybean,1997,1997,2873.0,2844.0,5,10,457.5,494.706,-37.206,18.18333,28.0141,4.40098,Loam
58,2000,USA,"Iowa, Nashua",42.94,-92.57,"Kenyon (fine-loamy, mixed, mesic Typic Hapludoll)", ,soybean,1997,1997,2849.0,2844.0,5,10,457.5,494.706,-37.206,18.18333,28.0141,4.40098,Loam
59,2000,USA,"Iowa, Nashua (Northeast Research and Demonstration Farm)",42.94,-92.57,"Kenyon (fine-loamy, mixed, mesic Typic Hapludoll)", ,soybean,1995,1995,2281.0,2404.0,5,10,438.1,502.598,-64.498,18.35,30.40158,3.53012,Loam
60,2000,USA,"Iowa, Nashua (Northeast Research and Demonstration Farm)",42.94,-92.57,"Kenyon (fine-loamy, mixed, mesic Typic Hapludoll)", ,soybean,1995,1995,2240.0,2404.0,5,10,438.1,502.598,-64.498,18.35,30.40158,3.53012,Loam
61,2009,USA,"South Dakota, Brookings",44.31,-96.79,clay loam,6.8-7.2,maize,2005,2005,8659.0,7594.0,5,10,503.5,541.433,-37.933,17.8,29.15936,3.41993,Loam
62,2009,USA,"South Dakota, Brookings",44.31,-96.79,clay loam,6.8-7.2,maize,2005,2005,3845.0,4470.0,5,10,503.5,541.433,-37.933,17.8,29.15936,3.41993,Loam
63,2009,USA,"South Dakota, Brookings",44.31,-96.79,clay loam,6.8-7.2,maize,2006,2006,8442.0,8865.0,5,10,372.1999984,542.5349577,-170.335,16.83333341,31.3676935,0.722333847,Loam
64,2009,USA,"South Dakota, Brookings",44.31,-96.79,clay loam,6.8-7.2,maize,2006,2006,4893.0,7445.0,5,10,372.1999984,542.5349577,-170.335,16.83333341,31.3676935,0.722333847,Loam
65,2006,Spain,Agramunt,41.8,1.12,available, ,barley.winter,1996,1997,3358.0,3098.0,12,6,342.2,481.439,-139.239,16.25714,25.40583,2.79712,Loam
66,2006,Spain,Agramunt,41.8,1.12,available, ,barley.winter,1997,1998,4767.0,4568.0,12,6,201.1,482.803,-281.703,16.21429,28.46006,2.45313,Loam
67,2006,Spain,Agramunt,41.8,1.12,available, ,barley.winter,1998,1999,1557.0,3645.0,12,6,240.7,484.196,-243.496,15.78571,27.16659,0.12838,Loam
68,2006,Spain,Candasnos,41.5,0.13,available, ,barley.winter,1997,1998,1672.0,770.0,12,6,200.7,415.484,-214.784,17.31429,29.88347,4.20414,Loam
69,2006,Spain,Candasnos,41.5,0.13,available, ,barley.winter,1998,1999,1888.0,1247.0,12,6,284.2,416.74,-132.54,16.91429,28.36756,2.29477,Loam
70,2006,Spain,Guissona,41.77,1.27,available, ,barley.winter,1996,1997,3863.0,4127.0,12,6,441.2,498.336,-57.136,12.05714,23.70359,2.70182,Loam
71,2006,Spain,Guissona,41.77,1.27,available, ,barley.winter,1997,1998,3317.0,2941.0,12,6,286.2,496.581,-210.381,12.02857,25.38628,2.38834,Loam
72,2006,Spain,Guissona,41.77,1.27,available, ,barley.winter,1998,1999,4229.0,5420.0,12,6,339.7,493.124,-153.424,11.6,24.61128,0.71023,Loam
73,2003,Australia,"Queensland, Gindie",-23.48,148.15,clay, ,sorghum,1996,1996,1660.0,2063.0,11,5,500.7,772.809,-272.109,26.71429,33.11866,15.08812,Clay loam
74,2003,Australia,"Queensland, Gindie",-23.48,148.15,clay, ,sorghum,1996,1997,2921.0,2949.0,11,5,500.7,772.809,-272.109,26.71429,33.11866,15.08812,Clay loam
75,2003,Australia,"Queensland, Gindie",-23.48,148.15,clay, ,wheat.winter,1991,1991,1542.0,1604.0,5,11,187.0,521.408,-334.408,20.34286,34.03646,6.68356,Clay loam
76,2010,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,sandy loam,8,wheat.winter,2004,2005,4200.0,4000.0,12,5,217.2000041,549.7760813,-332.576,25.60000038,38.63408833,6.036801246,Loam
77,2010,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,sandy loam,8,wheat.winter,2004,2005,4500.0,4200.0,12,5,217.2000041,549.7760813,-332.576,25.60000038,38.63408833,6.036801246,Loam
78,2010,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,sandy loam,8,wheat.winter,2005,2006,4000.0,3800.0,12,5,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
79,2010,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,sandy loam,8,wheat.winter,2005,2006,3700.0,3500.0,12,5,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
80,2010,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,sandy loam,8,wheat.winter,2006,2007,4700.0,4400.0,12,5,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
81,2010,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,sandy loam,8,wheat.winter,2006,2007,4900.0,4600.0,12,5,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
82,2010,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,sandy loam,8,wheat.winter,2006,2007,4500.0,4100.0,12,5,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
83,2010,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,sandy loam,8,wheat.winter,2006,2007,4700.0,4500.0,12,5,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
84,1997,Canada,"Alberta, Rycroft",55.72,-118.68,clay,5.4,barley.spring,1991,1991,2091.0,2151.0,5,9,307.8,399.473,-91.673,13.6,23.87368,4.13202,Clay loam
85,1997,Canada,"Alberta, Rycroft",55.72,-118.68,clay,5.4,barley.spring,1994,1994,2304.0,2840.0,5,9,356.3,403.232,-46.932,13.76,23.10267,3.78969,Clay loam
86,1997,Canada,"Alberta, Rycroft",55.72,-118.68,clay,5.4,wheat.spring,1994,1994,2824.0,3247.0,5,9,356.3,403.232,-46.932,13.76,23.10267,3.78969,Clay loam
87,1994,Canada,"Alberta, Rycroft",55.72,-118.68,clay,5.4,wheat.spring,1989,1989,960.0,1090.0,5,9,452.9,395.063,57.837,13.36,22.77721,3.27449,Clay loam
88,1994,Canada,"Alberta, Rycroft",55.72,-118.68,clay,5.4,wheat.spring,1990,1990,1170.0,960.0,5,9,290.1,407.789,-117.689,13.8,23.99237,3.91459,Clay loam
89,1998,Canada,"Alberta, Beaverlodge",55.2,-119.38,silt loam,5.3,wheat.spring,1993,1993,3457.0,3132.0,5,9,362.8,360.521,2.279,11.22,19.63982,2.31763,Clay loam
90,1998,Canada,"Alberta, Beaverlodge",55.2,-119.38,silt loam,5.3,wheat.spring,1994,1994,3089.0,2870.0,5,9,417.8,381.367,36.433,12.14,22.28035,2.28527,Clay loam
91,1998,Canada,"Alberta, Beaverlodge",55.2,-119.38,silt loam,5.3,wheat.spring,1995,1995,4494.0,4417.0,5,9,321.3,380.641,-59.341,11.26,19.59802,3.13068,Clay loam
92,2010,Sweden,Uppsala (Säby),59.9,17.0,silt loam, ,barley.spring,2004,2004,6940.0,6246.0,5,9,317.4,312.565,4.835,14.1,20.7831,4.52367,Loam
93,2010,Sweden,Uppsala (Säby),59.9,17.0,silt loam, ,barley.spring,2007,2007,8500.0,8160.0,5,9,257.4,305.349,-47.949,13.9,21.01425,5.29742,Loam
94,2010,Sweden,Uppsala (Ultuna),59.81,17.66,clay, ,barley.spring,2007,2007,6970.0,6691.0,5,9,242.4,302.808,-60.408,13.92,21.57994,5.50431,Loam
95,2010,Sweden,Uppsala (Säby),59.9,17.0,silt loam, ,wheat.winter,2004,2005,6070.0,2549.0,10,6,451.8,265.394,186.406,5.33333,17.9991,-8.99913,Loam
96,2010,Sweden,Uppsala (Ultuna),59.81,17.66,clay, ,wheat.winter,2004,2005,3650.0,1898.0,10,6,454.2,263.033,191.167,5.31111,18.32103,-9.08629,Loam
97,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2006,2006,1503.0,1617.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
98,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2006,2006,1440.0,1513.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
99,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2006,2006,2413.0,2523.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
100,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2006,2006,2393.0,2480.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
101,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2006,2006,1943.0,1980.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
102,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2006,2006,1933.0,1943.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
103,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2006,2006,2380.0,2360.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
104,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2006,2006,2460.0,2417.0,7,11,401.4999962,446.7680882,-45.268,27.15999947,35.09450211,13.0708079,Loam
105,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2007,2007,2127.0,2239.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
106,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2007,2007,2389.0,2490.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
107,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2007,2007,1860.0,1932.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
108,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2007,2007,2346.0,2383.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
109,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2007,2007,2449.0,2487.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
110,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2007,2007,2423.0,2460.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
111,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2007,2007,2133.0,2161.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
112,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,soybean,2007,2007,1845.0,1917.0,7,11,187.9000039,457.7381161,-269.838,26.94000015,35.81613061,11.17205607,Loam
113,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2008,2009,1389.0,1187.0,12,5,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
114,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2008,2009,4145.0,3907.0,12,5,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
115,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2008,2009,4400.0,4323.0,12,5,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
116,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2008,2009,4363.0,4215.0,12,5,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
117,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2008,2009,1144.0,1063.0,12,5,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
118,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2008,2009,4290.0,3997.0,12,5,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
119,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2008,2009,4396.0,4349.0,12,5,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
120,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2008,2009,4361.0,4281.0,12,5,152.0999994,567.6243543,-415.524,26.73333359,40.27970246,7.68780173,Loam
121,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2005,2006,1235.0,1301.0,12,5,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
122,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2005,2006,3505.0,4262.0,12,5,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
123,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2005,2006,3849.0,4578.0,12,5,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
124,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2005,2006,3906.0,4247.0,12,5,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
125,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2005,2006,1351.0,1232.0,12,5,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
126,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2005,2006,3415.0,3542.0,12,5,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
127,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2005,2006,3880.0,4153.0,12,5,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
128,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2005,2006,3965.0,3765.0,12,5,167.3999987,553.8121462,-386.412,26.36666648,39.83815839,4.642376807,Loam
129,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2006,2007,1230.0,1360.0,12,5,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
130,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2006,2007,3770.0,4017.0,12,5,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
131,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2006,2007,4030.0,4220.0,12,5,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
132,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2006,2007,4050.0,4290.0,12,5,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
133,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2006,2007,1330.0,1170.0,12,5,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
134,2012,India,"Ludhiana, Punjab Agricultural Research Farm",30.9,75.8,loamy sand, ,wheat.winter,2006,2007,3890.0,3823.0,12,5,266.9000057,553.9888433,-287.089,26.13333337,39.39245999,5.029379568,Loam
